date,open,high,low,close,adjusted_close,volume
2021-04-30,1.6425,1.6598,1.6251,1.6251,1.6251,0
2021-05-03,1.6251,1.6501,1.595,1.6057,1.6057,0
2021-05-04,1.6057,1.6262,1.5589,1.5934,1.5934,0
2021-05-05,1.5934,1.6175,1.5714,1.5758,1.5758,0
2021-05-06,1.5758,1.5874,1.5609,1.5679,1.5679,0
2021-05-07,1.5679,1.5842,1.4889,1.5772,1.5772,0
2021-05-10,1.5772,1.6083,1.5684,1.6039,1.6039,0
2021-05-11,1.6039,1.6263,1.588,1.6191,1.6191,0
2021-05-12,1.6191,1.7024,1.6122,1.6997,1.6997,0
2021-05-13,1.6997,1.7052,1.6548,1.6607,1.6607,0
2021-05-14,1.6599,1.6676,1.6242,1.6259,1.6259,0
2021-05-17,1.6259,1.6548,1.6072,1.6522,1.6522,0
2021-05-18,1.6522,1.6608,1.6241,1.6395,1.6395,0
2021-05-19,1.6395,1.695,1.6199,1.6753,1.6753,0
2021-05-20,1.6753,1.6805,1.6216,1.6241,1.6241,0
2021-05-21,1.6241,1.6403,1.6097,1.619,1.619,0
2021-05-24,1.619,1.6284,1.5901,1.6029,1.6029,0
2021-05-25,1.6029,1.6131,1.5537,1.5579,1.5579,0
2021-05-26,1.5579,1.5833,1.5503,1.5782,1.5782,0
2021-05-27,1.5782,1.625,1.5714,1.6045,1.6045,0
2021-05-28,1.6105,1.6267,1.5816,1.5841,1.5841,0
2021-06-01,1.5841,1.6472,1.5841,1.613,1.613,0
2021-06-02,1.613,1.6207,1.5866,1.5883,1.5883,0
2021-06-03,1.5883,1.6335,1.5841,1.625,1.625,0
2021-06-04,1.625,1.6378,1.5475,1.5543,1.5543,0
2021-06-07,1.5543,1.5849,1.5543,1.573,1.573,0
2021-06-08,1.573,1.573,1.5153,1.5432,1.5432,0
2021-06-09,1.5432,1.5432,1.4705,1.4899,1.4899,0
2021-06-10,1.4899,1.5331,1.4403,1.4411,1.4411,0
2021-06-11,1.4411,1.473,1.4284,1.4528,1.4528,0
2021-06-14,1.4528,1.5067,1.4528,1.4983,1.4983,0
2021-06-15,1.4983,1.516,1.4797,1.4982,1.4982,0
2021-06-16,1.4982,1.5849,1.4813,1.5797,1.5797,0
2021-06-17,1.5797,1.5951,1.4459,1.5092,1.5092,0
2021-06-18,1.5092,1.5252,1.4306,1.4381,1.4381,0
2021-06-21,1.4381,1.5023,1.3509,1.4989,1.4989,0
2021-06-22,1.4989,1.5192,1.4633,1.4667,1.4667,0
2021-06-23,1.4667,1.4963,1.4616,1.4861,1.4861,0
2021-06-24,1.4861,1.5064,1.4734,1.4929,1.4929,0
2021-06-25,1.4929,1.5565,1.4817,1.5276,1.5276,0
